0.5888,0,NO_SK
4.9878,0.3636,SPORT_KARRIERE
4.9878,0.3636,NO_SK
1.4042,0,NO_SK
0.5888,0,NO_SK
1.4042,0,NO_SK
1.0044,0,NO_SK
1.4042,0,NO_SK
1.488,0.2727,NO_SK
0.5888,0,NO_SK
1.2437,0,NO_SK
4.9878,0,NO_SK
0,0,NO_SK
1.2909,0,NO_SK
0.5888,0,NO_SK
tennis spieler michael jackson,0,1.6364,NO_SK
tennis spieler boris becker,0,1.6364,NO_SK
tennis spieler konzert,0,1.6364,NO_SK
tennis spieler konzert boris becker,0,1.6364,NO_SK
tennis spieler konzert scheiße boris becker,0,1.6364,NO_SK
tennis spieler konzert scheiße boris becker,0,1.6364,NO_SK
tennis spieler  boris becker,0,1.6364,NO_SK
tennis spieler boris becker,0,1.6364,NO_SK
tennis spiele boris becker,0,1.6364,NO_SK
tennis spiele boris becker,0,1.6364,NO_SK
tennis spiel boris becker,0.82,1.6364,NO_SK
tennis spiel boris becker,0.82,1.6364,NO_SK
tennis spie boris becker,0,1.0909,NO_SK
tennis spie boris becker,0,1.0909,NO_SK
tennis spi boris becker,0,1.0909,NO_SK
tennis boris becker,0,1.0909,NO_SK
spieler boris becker,0,0.5455,NO_SK
boris becker,0,0,NO_SK
brad pitt,0,0,NO_SK
Brad pitt dvd,1.0391,0,NO_SK
dvd,1.0391,0,NO_SK
michael,1.0391,0,NO_SK
michael jackosn,1.0391,0,NO_SK
michael jackson,0,0,NO_SK
boris becker,0,0,NO_SK
boris becker d,0.9624,0,NO_SK
boris becker ddddddddddddddddd,0,0,NO_SK
boris becker ddddddddd ball,4.9878,0.3636,NO_SK
boris becker dsfdsjfjs ödsfj spieler,0,0.5455,NO_SK
boris becker dsfdsjfjs ödsfj dssfdsf spieler,0,0.5455,NO_SK
boris becker dsfdsjfjs ödsfj dssfdsf,0,0,NO_SK
boris becker torwarts,0,0,NO_SK
boris becker torwart,0,0,NO_SK
boris becker tor,1.2078,0.1818,NO_SK
boris becker Berlin tor,1.306,0.1818,NO_SK
boris becke,1.306,0.1818,NO_SK
boris becker,0,0,NO_SK
brad pitt,0,0,NO_SK
Boris Becker Tennis playe,0,1.0909,NO_SK
Michael Jackson Chicago balls,4.9878,0.3636,NO_SK
Michael Jackson C,4.9878,0.3636,NO_SK
Michael Jackson Chicago balls,4.9878,0.3636,NO_SK
Michael Jackson Chicago balls city best team,4.9878,0.3636,NO_SK
Michael Jackson spieler,0,0.5455,NO_SK
Michael Jackson spieler hd,0,0.5455,NO_SK
Michael Jackson hd test,0.6567,0.8182,NO_SK
Michael Jackson test,1.3133,0.8182,NO_SK
