id,location_name,location_area,location_state,location_art
43,Sölden,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
44,Staufen im Breisgau,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
45,Stegen,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
46,Sulzburg,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
47,Titisee-Neustadt,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
48,Umkirch,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
49,Vogtsburg im Kaiserstuhl,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
50,Wittnau,Landkreis Breisgau-Hochschwarzwald,Baden Württemberg,de
51,Bahlingen am Kaiserstuhl,Landkreis Emmendingen,Baden Württemberg,de
52,Biederbach,Landkreis Emmendingen,Baden Württemberg,de
53,Denzlingen,Landkreis Emmendingen,Baden Württemberg,de
54,Elzach,Landkreis Emmendingen,Baden Württemberg,de
55,Emmendingen,Landkreis Emmendingen,Baden Württemberg,de
56,Endingen am Kaiserstuhl,Landkreis Emmendingen,Baden Württemberg,de
57,Forchheim,Landkreis Emmendingen,Baden Württemberg,de
58,Freiamt,Landkreis Emmendingen,Baden Württemberg,de
59,Gutach im Breisgau,Landkreis Emmendingen,Baden Württemberg,de
60,Herbolzheim,Landkreis Emmendingen,Baden Württemberg,de
61,Kenzingen,Landkreis Emmendingen,Baden Württemberg,de
62,Malterdingen,Landkreis Emmendingen,Baden Württemberg,de
63,Reute,Landkreis Emmendingen,Baden Württemberg,de
64,Rheinhausen,Landkreis Emmendingen,Baden Württemberg,de
65,Riegel am Kaiserstuhl,Landkreis Emmendingen,Baden Württemberg,de
66,Sasbach am Kaiserstuhl,Landkreis Emmendingen,Baden Württemberg,de
67,Sexau,Landkreis Emmendingen,Baden Württemberg,de
68,Simonswald,Landkreis Emmendingen,Baden Württemberg,de
69,Teningen,Landkreis Emmendingen,Baden Württemberg,de
70,Vörstetten,Landkreis Emmendingen,Baden Württemberg,de
71,Waldkirch,Landkreis Emmendingen,Baden Württemberg,de
72,Weisweil,Landkreis Emmendingen,Baden Württemberg,de
73,Winden im Elztal,Landkreis Emmendingen,Baden Württemberg,de
74,Wyhl am Kaiserstuhl,Landkreis Emmendingen,Baden Württemberg,de
75,Heidelberg,Kreisfreie Stadt Heidelberg,Baden Württemberg,de
76,Aach,Landkreis Konstanz,Baden Württemberg,de
77,Allensbach,Landkreis Konstanz,Baden Württemberg,de
78,Bodman-Ludwigshafen,Landkreis Konstanz,Baden Württemberg,de
79,Büsingen am Hochrhein,Landkreis Konstanz,Baden Württemberg,de
80,Eigeltingen,Landkreis Konstanz,Baden Württemberg,de
81,Engen,Landkreis Konstanz,Baden Württemberg,de
82,Gaienhofen,Landkreis Konstanz,Baden Württemberg,de
83,Gailingen am Hochrhein,Landkreis Konstanz,Baden Württemberg,de
84,Gottmadingen,Landkreis Konstanz,Baden Württemberg,de
85,Hilzingen,Landkreis Konstanz,Baden Württemberg,de
86,Hohenfels,Landkreis Konstanz,Baden Württemberg,de
87,Konstanz,Landkreis Konstanz,Baden Württemberg,de
88,Moos,Landkreis Konstanz,Baden Württemberg,de
89,Mühlhausen-Ehingen,Landkreis Konstanz,Baden Württemberg,de
90,Mühlingen,Landkreis Konstanz,Baden Württemberg,de
91,Öhningen,Landkreis Konstanz,Baden Württemberg,de
92,Orsingen-Nenzingen,Landkreis Konstanz,Baden Württemberg,de
93,Radolfzell am Bodensee,Landkreis Konstanz,Baden Württemberg,de
94,Reichenau,Landkreis Konstanz,Baden Württemberg,de
95,Rielasingen-Worblingen,Landkreis Konstanz,Baden Württemberg,de
96,Singen,Landkreis Konstanz,Baden Württemberg,de
97,Steißlingen,Landkreis Konstanz,Baden Württemberg,de
98,Stockach,Landkreis Konstanz,Baden Württemberg,de
99,Tengen,Landkreis Konstanz,Baden Württemberg,de
100,Volkertshausen,Landkreis Konstanz,Baden Württemberg,de
101,Karlsruhe,Kreisfreie Stadt Karlsruhe,Baden Württemberg,de
102,Freiburg im Breisgau,Kreisfreie Stadt Freiburg im Breisgau,Baden Württemberg,de
103,Mannheim,Kreisfreie Stadt Mannheim,Baden Württemberg,de
104,Aitern,Landkreis Lörrach,Baden Württemberg,de
105,Bad Bellingen,Landkreis Lörrach,Baden Württemberg,de
106,Binzen,Landkreis Lörrach,Baden Württemberg,de
107,Böllen,Landkreis Lörrach,Baden Württemberg,de
108,Bürchau,Landkreis Lörrach,Baden Württemberg,de
109,Efringen-Kirchen,Landkreis Lörrach,Baden Württemberg,de
110,Eimeldingen,Landkreis Lörrach,Baden Württemberg,de
111,Elbenschwand,Landkreis Lörrach,Baden Württemberg,de
112,Fischingen,Landkreis Lörrach,Baden Württemberg,de
113,Fröhnd,Landkreis Lörrach,Baden Württemberg,de
114,Grenzach-Wyhlen,Landkreis Lörrach,Baden Württemberg,de
115,Häg-Ehrsberg,Landkreis Lörrach,Baden Württemberg,de
116,Hasel,Landkreis Lörrach,Baden Württemberg,de
117,Hausen im Wiesental,Landkreis Lörrach,Baden Württemberg,de
118,Inzlingen,Landkreis Lörrach,Baden Württemberg,de
119,Kandern,Landkreis Lörrach,Baden Württemberg,de
120,Lörrach,Landkreis Lörrach,Baden Württemberg,de
121,Malsburg-Marzell,Landkreis Lörrach,Baden Württemberg,de
122,Maulburg,Landkreis Lörrach,Baden Württemberg,de
123,Neuenweg,Landkreis Lörrach,Baden Württemberg,de
124,Raich,Landkreis Lörrach,Baden Württemberg,de
125,Rheinfelden,Landkreis Lörrach,Baden Württemberg,de
126,Rümmingen,Landkreis Lörrach,Baden Württemberg,de
127,Sallneck,Landkreis Lörrach,Baden Württemberg,de
128,Schallbach,Landkreis Lörrach,Baden Württemberg,de
129,Schliengen,Landkreis Lörrach,Baden Württemberg,de
130,Schönau im Schwarzwald,Landkreis Lörrach,Baden Württemberg,de
131,Schönenberg,Landkreis Lörrach,Baden Württemberg,de
132,Schopfheim,Landkreis Lörrach,Baden Württemberg,de
133,Schwörstadt,Landkreis Lörrach,Baden Württemberg,de
134,Steinen,Landkreis Lörrach,Baden Württemberg,de
135,Tegernau,Landkreis Lörrach,Baden Württemberg,de
136,Todtnau,Landkreis Lörrach,Baden Württemberg,de
137,Tunau,Landkreis Lörrach,Baden Württemberg,de
138,Utzenfeld,Landkreis Lörrach,Baden Württemberg,de
139,Weil am Rhein,Landkreis Lörrach,Baden Württemberg,de
140,Wembach,Landkreis Lörrach,Baden Württemberg,de
141,Wieden,Landkreis Lörrach,Baden Württemberg,de
142,Wies,Landkreis Lörrach,Baden Württemberg,de
143,Wieslet,Landkreis Lörrach,Baden Württemberg,de
144,Wittlingen,Landkreis Lörrach,Baden Württemberg,de
145,Zell im Wiesental,Landkreis Lörrach,Baden Württemberg,de
146,Pforzheim,Kreisfreie Stadt Pforzheim,Baden Württemberg,de
147,Adelsheim,Neckar-Odenwald-Kreis,Baden Württemberg,de
148,Aglasterhausen,Neckar-Odenwald-Kreis,Baden Württemberg,de
149,Billigheim,Neckar-Odenwald-Kreis,Baden Württemberg,de
150,Binau,Neckar-Odenwald-Kreis,Baden Württemberg,de
151,Buchen (Odenwald),Neckar-Odenwald-Kreis,Baden Württemberg,de
152,Elztal,Neckar-Odenwald-Kreis,Baden Württemberg,de
153,Fahrenbach,Neckar-Odenwald-Kreis,Baden Württemberg,de
154,Hardheim,Neckar-Odenwald-Kreis,Baden Württemberg,de
155,Haßmersheim,Neckar-Odenwald-Kreis,Baden Württemberg,de
156,Höpfingen,Neckar-Odenwald-Kreis,Baden Württemberg,de
157,Hüffenhardt,Neckar-Odenwald-Kreis,Baden Württemberg,de
158,Limbach,Neckar-Odenwald-Kreis,Baden Württemberg,de
159,Mosbach,Neckar-Odenwald-Kreis,Baden Württemberg,de
160,Mudau,Neckar-Odenwald-Kreis,Baden Württemberg,de
161,Neckargerach,Neckar-Odenwald-Kreis,Baden Württemberg,de
162,Neckarzimmern,Neckar-Odenwald-Kreis,Baden Württemberg,de
163,Neunkirchen,Neckar-Odenwald-Kreis,Baden Württemberg,de
164,Obrigheim,Neckar-Odenwald-Kreis,Baden Württemberg,de
165,Osterburken,Neckar-Odenwald-Kreis,Baden Württemberg,de
166,Ravenstein,Neckar-Odenwald-Kreis,Baden Württemberg,de
167,Rosenberg,Neckar-Odenwald-Kreis,Baden Württemberg,de
168,Schefflenz,Neckar-Odenwald-Kreis,Baden Württemberg,de
169,Schwarzach,Neckar-Odenwald-Kreis,Baden Württemberg,de
170,Seckach,Neckar-Odenwald-Kreis,Baden Württemberg,de
171,Waldbrunn,Neckar-Odenwald-Kreis,Baden Württemberg,de
172,Walldürn,Neckar-Odenwald-Kreis,Baden Württemberg,de
173,Zwingenberg,Neckar-Odenwald-Kreis,Baden Württemberg,de
174,Altlußheim,Rhein-Neckar-Kreis,Baden Württemberg,de
175,Angelbachtal,Rhein-Neckar-Kreis,Baden Württemberg,de
176,Bammental,Rhein-Neckar-Kreis,Baden Württemberg,de
177,Brühl,Rhein-Neckar-Kreis,Baden Württemberg,de
178,Dielheim,Rhein-Neckar-Kreis,Baden Württemberg,de
179,Dossenheim,Rhein-Neckar-Kreis,Baden Württemberg,de
180,Eberbach,Rhein-Neckar-Kreis,Baden Württemberg,de
181,Edingen-Neckarhausen,Rhein-Neckar-Kreis,Baden Württemberg,de
182,Epfenbach,Rhein-Neckar-Kreis,Baden Württemberg,de
183,Eppelheim,Rhein-Neckar-Kreis,Baden Württemberg,de
184,Eschelbronn,Rhein-Neckar-Kreis,Baden Württemberg,de
185,Gaiberg,Rhein-Neckar-Kreis,Baden Württemberg,de
186,Heddesbach,Rhein-Neckar-Kreis,Baden Württemberg,de
187,Heddesheim,Rhein-Neckar-Kreis,Baden Württemberg,de
188,Heiligkreuzsteinach,Rhein-Neckar-Kreis,Baden Württemberg,de
189,Helmstadt-Bargen,Rhein-Neckar-Kreis,Baden Württemberg,de
190,Hemsbach,Rhein-Neckar-Kreis,Baden Württemberg,de
191,Hirschberg an der Bergstraße,Rhein-Neckar-Kreis,Baden Württemberg,de
192,Hockenheim,Rhein-Neckar-Kreis,Baden Württemberg,de
193,Ilvesheim,Rhein-Neckar-Kreis,Baden Württemberg,de
194,Ketsch,Rhein-Neckar-Kreis,Baden Württemberg,de
195,Ladenburg,Rhein-Neckar-Kreis,Baden Württemberg,de
196,Laudenbach,Rhein-Neckar-Kreis,Baden Württemberg,de
197,Leimen,Rhein-Neckar-Kreis,Baden Württemberg,de
198,Lobbach,Rhein-Neckar-Kreis,Baden Württemberg,de
199,Malsch,Rhein-Neckar-Kreis,Baden Württemberg,de
200,Mauer,Rhein-Neckar-Kreis,Baden Württemberg,de
201,Meckesheim,Rhein-Neckar-Kreis,Baden Württemberg,de
202,Mühlhausen,Rhein-Neckar-Kreis,Baden Württemberg,de
203,Neckarbischofsheim,Rhein-Neckar-Kreis,Baden Württemberg,de
204,Neckargemünd,Rhein-Neckar-Kreis,Baden Württemberg,de
205,Neidenstein,Rhein-Neckar-Kreis,Baden Württemberg,de
206,Neulußheim,Rhein-Neckar-Kreis,Baden Württemberg,de
207,Nußloch,Rhein-Neckar-Kreis,Baden Württemberg,de
208,Oftersheim,Rhein-Neckar-Kreis,Baden Württemberg,de
209,Plankstadt,Rhein-Neckar-Kreis,Baden Württemberg,de
210,Rauenberg,Rhein-Neckar-Kreis,Baden Württemberg,de
211,Reichartshausen,Rhein-Neckar-Kreis,Baden Württemberg,de
212,Reilingen,Rhein-Neckar-Kreis,Baden Württemberg,de
213,Sandhausen,Rhein-Neckar-Kreis,Baden Württemberg,de
214,Sankt Leon-Rot,Rhein-Neckar-Kreis,Baden Württemberg,de
215,Schönau,Rhein-Neckar-Kreis,Baden Württemberg,de
216,Schönbrunn,Rhein-Neckar-Kreis,Baden Württemberg,de
217,Schriesheim,Rhein-Neckar-Kreis,Baden Württemberg,de
218,Schwetzingen,Rhein-Neckar-Kreis,Baden Württemberg,de
219,Sinsheim,Rhein-Neckar-Kreis,Baden Württemberg,de
220,Spechbach,Rhein-Neckar-Kreis,Baden Württemberg,de
221,Waibstadt,Rhein-Neckar-Kreis,Baden Württemberg,de
222,Walldorf,Rhein-Neckar-Kreis,Baden Württemberg,de
223,Weinheim,Rhein-Neckar-Kreis,Baden Württemberg,de
224,Wiesenbach,Rhein-Neckar-Kreis,Baden Württemberg,de
225,Wiesloch,Rhein-Neckar-Kreis,Baden Württemberg,de
226,Wilhelmsfeld,Rhein-Neckar-Kreis,Baden Württemberg,de
227,Zuzenhausen,Rhein-Neckar-Kreis,Baden Württemberg,de
228,Au am Rhein,Landkreis Rastatt,Baden Württemberg,de
229,Bietigheim,Landkreis Rastatt,Baden Württemberg,de
230,Bischweier,Landkreis Rastatt,Baden Württemberg,de
231,Bühl,Landkreis Rastatt,Baden Württemberg,de
232,Bühlertal,Landkreis Rastatt,Baden Württemberg,de
233,Durmersheim,Landkreis Rastatt,Baden Württemberg,de
234,Elchesheim-Illingen,Landkreis Rastatt,Baden Württemberg,de
235,Forbach,Landkreis Rastatt,Baden Württemberg,de
236,Gaggenau,Landkreis Rastatt,Baden Württemberg,de
237,Gernsbach,Landkreis Rastatt,Baden Württemberg,de
238,Hügelsheim,Landkreis Rastatt,Baden Württemberg,de
239,Iffezheim,Landkreis Rastatt,Baden Württemberg,de
240,Kuppenheim,Landkreis Rastatt,Baden Württemberg,de
241,Lichtenau,Landkreis Rastatt,Baden Württemberg,de
242,Loffenau,Landkreis Rastatt,Baden Württemberg,de
243,Muggensturm,Landkreis Rastatt,Baden Württemberg,de
244,Ötigheim,Landkreis Rastatt,Baden Württemberg,de
245,Ottersweier,Landkreis Rastatt,Baden Württemberg,de
246,Rastatt,Landkreis Rastatt,Baden Württemberg,de
247,Rheinmünster,Landkreis Rastatt,Baden Württemberg,de
248,Sinzheim,Landkreis Rastatt,Baden Württemberg,de
249,Steinmauern,Landkreis Rastatt,Baden Württemberg,de
250,Weisenbach,Landkreis Rastatt,Baden Württemberg,de
251,Dunzenhausen,Landkreis Biberach,Baden Württemberg,de
252,Füramoos,Landkreis Biberach,Baden Württemberg,de
253,Altbellamont,Landkreis Biberach,Baden Württemberg,de
254,Bergerhausen,Landkreis Biberach,Baden Württemberg,de
255,Achstetten,Landkreis Biberach,Baden Württemberg,de
256,Alleshausen,Landkreis Biberach,Baden Württemberg,de
257,Allmannsweiler,Landkreis Biberach,Baden Württemberg,de
258,Altheim,Landkreis Biberach,Baden Württemberg,de
259,Attenweiler,Landkreis Biberach,Baden Württemberg,de
260,Bad Buchau,Landkreis Biberach,Baden Württemberg,de
261,Bad Schussenried,Landkreis Biberach,Baden Württemberg,de
262,Berkheim,Landkreis Biberach,Baden Württemberg,de
263,Betzenweiler,Landkreis Biberach,Baden Württemberg,de
264,Biberach an der Riß,Landkreis Biberach,Baden Württemberg,de
265,Burgrieden,Landkreis Biberach,Baden Württemberg,de
266,Dettingen an der Iller,Landkreis Biberach,Baden Württemberg,de
267,Dürmentingen,Landkreis Biberach,Baden Württemberg,de
268,Dürnau,Landkreis Biberach,Baden Württemberg,de
269,Eberhardzell,Landkreis Biberach,Baden Württemberg,de
270,Erlenmoos,Landkreis Biberach,Baden Württemberg,de
271,Erolzheim,Landkreis Biberach,Baden Württemberg,de
272,Ertingen,Landkreis Biberach,Baden Württemberg,de
273,Gutenzell-Hürbel,Landkreis Biberach,Baden Württemberg,de
274,Hochdorf,Landkreis Biberach,Baden Württemberg,de
275,Ingoldingen,Landkreis Biberach,Baden Württemberg,de
276,Kanzach,Landkreis Biberach,Baden Württemberg,de
277,Kirchberg an der Iller,Landkreis Biberach,Baden Württemberg,de
278,Kirchdorf an der Iller,Landkreis Biberach,Baden Württemberg,de
279,Langenenslingen,Landkreis Biberach,Baden Württemberg,de
280,Laupheim,Landkreis Biberach,Baden Württemberg,de
281,Maselheim,Landkreis Biberach,Baden Württemberg,de
282,Mietingen,Landkreis Biberach,Baden Württemberg,de
283,Mittelbiberach,Landkreis Biberach,Baden Württemberg,de
284,Moosburg,Landkreis Biberach,Baden Württemberg,de
285,Ochsenhausen,Landkreis Biberach,Baden Württemberg,de
286,Oggelshausen,Landkreis Biberach,Baden Württemberg,de
287,Riedlingen,Landkreis Biberach,Baden Württemberg,de
288,Rot an der Rot,Landkreis Biberach,Baden Württemberg,de
289,Schemmerhofen,Landkreis Biberach,Baden Württemberg,de
290,Schwendi,Landkreis Biberach,Baden Württemberg,de
291,Seekirch,Landkreis Biberach,Baden Württemberg,de
292,Steinhausen an der Rottum,Landkreis Biberach,Baden Württemberg,de
293,Tannheim,Landkreis Biberach,Baden Württemberg,de
294,Tiefenbach,Landkreis Biberach,Baden Württemberg,de
295,Ummendorf,Landkreis Biberach,Baden Württemberg,de
296,Unlingen,Landkreis Biberach,Baden Württemberg,de
297,Uttenweiler,Landkreis Biberach,Baden Württemberg,de
298,Wain,Landkreis Biberach,Baden Württemberg,de
299,Warthausen,Landkreis Biberach,Baden Württemberg,de
300,Aidlingen,Landkreis Böblingen,Baden Württemberg,de
301,Altdorf,Landkreis Böblingen,Baden Württemberg,de
302,Böblingen,Landkreis Böblingen,Baden Württemberg,de
303,Bondorf,Landkreis Böblingen,Baden Württemberg,de
304,Deckenpfronn,Landkreis Böblingen,Baden Württemberg,de
305,Ehningen,Landkreis Böblingen,Baden Württemberg,de
306,Gärtringen,Landkreis Böblingen,Baden Württemberg,de
307,Gäufelden,Landkreis Böblingen,Baden Württemberg,de
308,Grafenau,Landkreis Böblingen,Baden Württemberg,de
309,Herrenberg,Landkreis Böblingen,Baden Württemberg,de
310,Hildrizhausen,Landkreis Böblingen,Baden Württemberg,de
311,Holzgerlingen,Landkreis Böblingen,Baden Württemberg,de
312,Jettingen,Landkreis Böblingen,Baden Württemberg,de
313,Leonberg,Landkreis Böblingen,Baden Württemberg,de
314,Magstadt,Landkreis Böblingen,Baden Württemberg,de
315,Mötzingen,Landkreis Böblingen,Baden Württemberg,de
316,Nufringen,Landkreis Böblingen,Baden Württemberg,de
317,Renningen,Landkreis Böblingen,Baden Württemberg,de
318,Rutesheim,Landkreis Böblingen,Baden Württemberg,de
319,Schönaich,Landkreis Böblingen,Baden Württemberg,de
320,Sindelfingen,Landkreis Böblingen,Baden Württemberg,de
321,Steinenbronn,Landkreis Böblingen,Baden Württemberg,de
322,Waldenbuch,Landkreis Böblingen,Baden Württemberg,de
323,Weil der Stadt,Landkreis Böblingen,Baden Württemberg,de
324,Weil im Schönbuch,Landkreis Böblingen,Baden Württemberg,de
325,Weissach,Landkreis Böblingen,Baden Württemberg,de
326,Aichtal,Landkreis Esslingen,Baden Württemberg,de
327,Aichwald,Landkreis Esslingen,Baden Württemberg,de
328,Altbach,Landkreis Esslingen,Baden Württemberg,de
329,Altdorf,Landkreis Esslingen,Baden Württemberg,de
330,Altenriet,Landkreis Esslingen,Baden Württemberg,de
331,Baltmannsweiler,Landkreis Esslingen,Baden Württemberg,de
332,Bempflingen,Landkreis Esslingen,Baden Württemberg,de
333,Beuren,Landkreis Esslingen,Baden Württemberg,de
334,Bissingen an der Teck,Landkreis Esslingen,Baden Württemberg,de
335,Deizisau,Landkreis Esslingen,Baden Württemberg,de
336,Denkendorf,Landkreis Esslingen,Baden Württemberg,de
337,Dettingen unter Teck,Landkreis Esslingen,Baden Württemberg,de
338,Erkenbrechtsweiler,Landkreis Esslingen,Baden Württemberg,de
339,Esslingen am Neckar,Landkreis Esslingen,Baden Württemberg,de
340,Filderstadt,Landkreis Esslingen,Baden Württemberg,de
341,Frickenhausen,Landkreis Esslingen,Baden Württemberg,de
342,Großbettlingen,Landkreis Esslingen,Baden Württemberg,de
343,Hochdorf,Landkreis Esslingen,Baden Württemberg,de
344,Holzmaden,Landkreis Esslingen,Baden Württemberg,de
345,Kirchheim unter Teck,Landkreis Esslingen,Baden Württemberg,de
346,Köngen,Landkreis Esslingen,Baden Württemberg,de
347,Kohlberg,Landkreis Esslingen,Baden Württemberg,de
348,Leinfelden-Echterdingen,Landkreis Esslingen,Baden Württemberg,de
349,Lenningen,Landkreis Esslingen,Baden Württemberg,de
350,Lichtenwald,Landkreis Esslingen,Baden Württemberg,de
351,Neckartailfingen,Landkreis Esslingen,Baden Württemberg,de
352,Neckartenzlingen,Landkreis Esslingen,Baden Württemberg,de
353,Neidlingen,Landkreis Esslingen,Baden Württemberg,de
354,Neuffen,Landkreis Esslingen,Baden Württemberg,de
355,Neuhausen auf den Fildern,Landkreis Esslingen,Baden Württemberg,de
356,Notzingen,Landkreis Esslingen,Baden Württemberg,de
357,Nürtingen,Landkreis Esslingen,Baden Württemberg,de
358,Oberboihingen,Landkreis Esslingen,Baden Württemberg,de
359,Ohmden,Landkreis Esslingen,Baden Württemberg,de
360,Ostfildern,Landkreis Esslingen,Baden Württemberg,de
361,Owen,Landkreis Esslingen,Baden Württemberg,de
362,Plochingen,Landkreis Esslingen,Baden Württemberg,de
363,Reichenbach an der Fils,Landkreis Esslingen,Baden Württemberg,de
364,Schlaitdorf,Landkreis Esslingen,Baden Württemberg,de
365,Unterensingen,Landkreis Esslingen,Baden Württemberg,de
366,Weilheim an der Teck,Landkreis Esslingen,Baden Württemberg,de
367,Wendlingen am Neckar,Landkreis Esslingen,Baden Württemberg,de
368,Wernau,Landkreis Esslingen,Baden Württemberg,de
369,Wolfschlugen,Landkreis Esslingen,Baden Württemberg,de
370,Bermatingen,Bodenseekreis,Baden Württemberg,de
371,Daisendorf,Bodenseekreis,Baden Württemberg,de
372,Deggenhausertal,Bodenseekreis,Baden Württemberg,de
373,Eriskirch,Bodenseekreis,Baden Württemberg,de
374,Frickingen,Bodenseekreis,Baden Württemberg,de
375,Friedrichshafen,Bodenseekreis,Baden Württemberg,de
376,Hagnau am Bodensee,Bodenseekreis,Baden Württemberg,de
377,Heiligenberg,Bodenseekreis,Baden Württemberg,de
378,Immenstaad am Bodensee,Bodenseekreis,Baden Württemberg,de
379,Kressbronn am Bodensee,Bodenseekreis,Baden Württemberg,de
380,Langenargen,Bodenseekreis,Baden Württemberg,de
381,Markdorf,Bodenseekreis,Baden Württemberg,de
382,Meckenbeuren,Bodenseekreis,Baden Württemberg,de
383,Meersburg,Bodenseekreis,Baden Württemberg,de
384,Neukirch,Bodenseekreis,Baden Württemberg,de
385,Oberteuringen,Bodenseekreis,Baden Württemberg,de
386,Owingen,Bodenseekreis,Baden Württemberg,de
387,Salem,Bodenseekreis,Baden Württemberg,de
388,Sipplingen,Bodenseekreis,Baden Württemberg,de
389,Stetten,Bodenseekreis,Baden Württemberg,de
390,Tettnang,Bodenseekreis,Baden Württemberg,de
391,Überlingen,Bodenseekreis,Baden Württemberg,de
392,Uhldingen-Mühlhofen,Bodenseekreis,Baden Württemberg,de
393,Türkheim,Landkreis Göppingen,Baden Württemberg,de
394,Aufhausen,Landkreis Göppingen,Baden Württemberg,de
395,Adelberg,Landkreis Göppingen,Baden Württemberg,de
396,Aichelberg,Landkreis Göppingen,Baden Württemberg,de
397,Albershausen,Landkreis Göppingen,Baden Württemberg,de
398,Bad Ditzenbach,Landkreis Göppingen,Baden Württemberg,de
399,Bad Überkingen,Landkreis Göppingen,Baden Württemberg,de
400,Birenbach,Landkreis Göppingen,Baden Württemberg,de
401,Böhmenkirch,Landkreis Göppingen,Baden Württemberg,de
402,Börtlingen,Landkreis Göppingen,Baden Württemberg,de
403,Boll,Landkreis Göppingen,Baden Württemberg,de
404,Deggingen,Landkreis Göppingen,Baden Württemberg,de
405,Donzdorf,Landkreis Göppingen,Baden Württemberg,de
406,Drackenstein,Landkreis Göppingen,Baden Württemberg,de
407,Dürnau,Landkreis Göppingen,Baden Württemberg,de
408,Ebersbach an der Fils,Landkreis Göppingen,Baden Württemberg,de
409,Eislingen/Fils,Landkreis Göppingen,Baden Württemberg,de
410,Eschenbach,Landkreis Göppingen,Baden Württemberg,de
411,Gammelshausen,Landkreis Göppingen,Baden Württemberg,de
412,Geislingen an der Steige,Landkreis Göppingen,Baden Württemberg,de
413,Gingen an der Fils,Landkreis Göppingen,Baden Württemberg,de
414,Göppingen,Landkreis Göppingen,Baden Württemberg,de
415,Gruibingen,Landkreis Göppingen,Baden Württemberg,de
